% C4    He*    Ionization    4.70 eV                              
% E/N (Td)	Rate coefficient (m3/s)
1.00000	0.00000
1.03051	0.00000
1.12203	0.00000
1.27456	0.121047E-23
1.48811	0.265464E-21
1.76268	0.280030E-19
2.09826	0.114569E-17
2.49485	0.192893E-16
2.95245	0.158338E-15
3.47107	0.757737E-15
4.05071	0.245293E-14
4.69136	0.601099E-14
5.39302	0.119982E-13
6.15570	0.202424E-13
6.97939	0.294702E-13
7.86410	0.380512E-13
8.80982	0.451100E-13
9.81655	0.505767E-13
10.8843	0.547966E-13
12.0131	0.581344E-13
13.2028	0.608660E-13
14.4536	0.631856E-13
15.7654	0.652061E-13
17.1383	0.670394E-13
18.5721	0.687250E-13
20.0669	0.703000E-13
21.6228	0.718043E-13
23.2397	0.732264E-13
24.9176	0.745959E-13
26.6565	0.759211E-13
28.4564	0.772149E-13
30.3173	0.784815E-13
32.2393	0.797173E-13
34.2222	0.809459E-13
36.2662	0.821610E-13
38.3712	0.833711E-13
40.5372	0.845680E-13
42.7642	0.857597E-13
45.0522	0.869482E-13
47.4013	0.881364E-13
49.8113	0.893225E-13
52.2824	0.905093E-13
54.8145	0.916941E-13
57.4076	0.928845E-13
60.0617	0.940771E-13
62.7769	0.952722E-13
65.5530	0.964676E-13
68.3902	0.976679E-13
71.2883	0.988704E-13
74.2475	0.100075E-12
77.2677	0.101281E-12
80.3489	0.102489E-12
83.4912	0.103697E-12
86.6944	0.104908E-12
89.9587	0.106117E-12
93.2840	0.107325E-12
96.6702	0.108532E-12
100.118	0.109734E-12
103.626	0.110937E-12
107.195	0.112137E-12
110.826	0.113333E-12
114.517	0.114521E-12
118.269	0.115709E-12
122.083	0.116891E-12
125.957	0.118067E-12
129.892	0.119236E-12
133.889	0.120398E-12
137.946	0.121551E-12
142.065	0.122689E-12
146.244	0.123824E-12
150.485	0.124949E-12
154.786	0.126063E-12
159.149	0.127168E-12
163.572	0.128259E-12
168.057	0.129337E-12
172.602	0.130403E-12
177.209	0.131454E-12
181.877	0.132492E-12
186.605	0.133515E-12
191.395	0.134522E-12
196.245	0.135508E-12
201.157	0.136484E-12
206.130	0.137444E-12
211.163	0.138386E-12
216.258	0.139308E-12
221.414	0.140216E-12
226.630	0.141106E-12
231.908	0.141977E-12
237.247	0.142820E-12
242.647	0.143654E-12
248.107	0.144470E-12
253.629	0.145266E-12
259.212	0.146044E-12
264.856	0.146803E-12
270.561	0.147542E-12
276.327	0.148262E-12
282.153	0.148962E-12
288.041	0.149646E-12
293.990	0.150307E-12
300.000	0.150949E-12
